City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
419,Prince Rupert,90,CA,2020-01-28 23:16:12,81,54.32,-130.32,44.6,21.92
420,Paranapanema,4,BR,2020-01-28 23:18:48,97,-23.39,-48.72,66.61,4.68
421,College,1,US,2020-01-28 23:18:48,73,64.86,-147.8,-18.99,4.54
422,Dakar,13,SN,2020-01-28 23:14:31,77,14.69,-17.44,69.8,12.75
423,Ivybridge,48,GB,2020-01-28 23:18:48,88,50.39,-3.92,42.01,12.46
424,Eyl,29,SO,2020-01-28 23:18:48,74,7.98,49.82,74.03,24.27
425,Nelson Bay,75,AU,2020-01-28 23:18:48,74,-32.72,152.15,81.0,16.11
426,Matamoros,5,MX,2020-01-28 23:18:48,21,25.53,-103.25,60.8,3.74
427,Strezhevoy,100,RU,2020-01-28 23:18:48,75,60.73,77.59,-18.4,8.95
428,Narsaq,38,GL,2020-01-28 23:18:48,72,60.92,-46.05,12.2,4.94
429,Berlevag,65,NO,2020-01-28 23:18:48,78,70.86,29.09,10.4,14.99
430,Hutchinson,90,US,2020-01-28 23:18:49,92,38.06,-97.93,32.0,6.93
431,Villeta,20,CO,2020-01-28 23:18:49,93,5.01,-74.47,51.8,3.36
432,Ongandjera,0,NA,2020-01-28 23:18:49,43,-17.88,15.07,76.15,10.36
433,Padang,100,ID,2020-01-28 23:18:49,91,-0.95,100.35,68.32,0.4
434,Sobolevo,100,RU,2020-01-28 23:18:49,95,54.43,31.9,29.57,11.61
435,Kiryat Gat,75,IL,2020-01-28 23:18:49,93,31.61,34.76,53.6,9.17
436,Norman Wells,20,CA,2020-01-28 23:18:49,67,65.28,-126.83,-22.0,5.82
437,Virginia Beach,1,US,2020-01-28 23:06:39,92,36.85,-75.98,39.99,15.19
438,Peniche,75,PT,2020-01-28 23:18:49,93,39.36,-9.38,57.99,4.7
439,Ilave,100,PE,2020-01-28 23:18:50,78,-16.08,-69.67,47.88,10.98
440,Cooma,29,AU,2020-01-28 23:18:50,24,-36.23,149.13,82.4,8.05
441,Talnakh,100,RU,2020-01-28 23:18:50,78,69.49,88.4,8.6,6.71
442,Klaksvik,0,FO,2020-01-28 23:18:50,65,62.23,-6.59,32.0,2.24
443,Tinqueux,75,FR,2020-01-28 23:18:50,80,49.25,3.98,41.0,9.17
444,Linxia,0,CN,2020-01-28 23:18:50,32,35.6,103.21,27.0,2.28
445,Doctor Arroyo,0,MX,2020-01-28 23:18:50,37,23.67,-100.18,54.32,8.12
446,Carballo,75,ES,2020-01-28 23:18:50,93,43.21,-8.69,57.99,2.24
447,Uacon,83,PH,2020-01-28 23:18:50,53,15.68,119.94,79.86,7.7
448,Vila Velha,75,BR,2020-01-28 23:18:51,94,-20.33,-40.29,79.0,8.05
449,Jiuquan,9,CN,2020-01-28 23:18:51,32,39.74,98.52,23.07,6.02
450,Burnie,18,AU,2020-01-28 23:18:51,50,-41.07,145.92,77.0,7.0
451,Riyadh,35,SA,2020-01-28 23:18:33,60,24.69,46.72,41.0,4.34
452,Poronaysk,64,RU,2020-01-28 23:18:51,87,49.22,143.12,11.34,3.8
453,Bedford,28,GB,2020-01-28 23:18:17,84,52.13,-0.47,37.99,14.99
454,Laguna,1,US,2020-01-28 23:16:12,81,38.42,-121.42,54.0,6.08
455,Xai-Xai,0,MZ,2020-01-28 23:18:51,81,-25.05,33.64,66.58,2.62
456,Upata,7,VE,2020-01-28 23:18:51,89,8.01,-62.4,71.62,4.18
457,Ostrovnoy,18,RU,2020-01-28 23:04:46,93,68.05,39.51,3.87,4.25
458,Noyabrsk,95,RU,2020-01-28 23:18:51,98,63.2,75.45,-18.78,12.06
459,Taoudenni,0,ML,2020-01-28 23:09:03,29,22.68,-3.98,63.16,10.87
460,Suntar,100,RU,2020-01-28 23:18:52,91,62.14,117.63,3.07,4.18
461,Prescott,1,US,2020-01-28 23:18:52,39,34.54,-112.47,48.0,3.36
462,Stolin,100,BY,2020-01-28 23:18:52,93,51.89,26.85,35.29,7.2
463,Balkhash,0,KZ,2020-01-28 23:18:52,84,46.84,74.98,1.4,8.95
464,Bugene,100,TZ,2020-01-28 23:18:52,97,-1.59,31.14,61.56,1.12
465,Dawei,43,MM,2020-01-28 23:18:52,71,14.08,98.2,71.58,4.29
466,Vanimo,0,PG,2020-01-28 23:18:53,77,-2.67,141.3,83.05,13.56
467,Antofagasta,20,CL,2020-01-28 23:18:13,83,-23.65,-70.4,72.0,4.7
468,Balikpapan,50,ID,2020-01-28 23:18:53,77,-1.27,116.83,83.28,11.68
469,Wyszkow,75,PL,2020-01-28 23:18:53,80,52.59,21.46,39.99,11.41
470,Lagoa,12,PT,2020-01-28 23:18:54,91,39.05,-27.98,62.64,22.48
471,Manjacaze,0,MZ,2020-01-28 23:18:54,82,-24.71,33.88,65.59,2.24
472,Yangi Marg`ilon,0,UZ,2020-01-28 23:18:54,74,40.43,71.72,33.8,4.7
473,Coahuayana Viejo,5,MX,2020-01-28 23:18:54,88,18.73,-103.68,64.4,3.65
474,Pierre,90,US,2020-01-28 23:18:31,100,44.37,-100.35,28.99,5.82
475,Lastoursville,15,GA,2020-01-28 23:18:55,87,-0.81,12.73,72.99,1.21
476,Makakilo City,20,US,2020-01-28 23:18:51,61,21.35,-158.09,80.6,9.17
